date,decision,beige_books,minutes,statements
2017-09-20,MAINTAIN,beige_books/beige_book_20170906.pdf,,statements/statement_2017-09-20.txt
2017-11-01,MAINTAIN,beige_books/beige_book_20171018.pdf,,statements/statement_2017-11-01.txt
2017-12-13,RAISE,beige_books/beige_book_20171129.pdf,,statements/statement_2017-12-13.txt
2018-01-31,MAINTAIN,beige_books/beige_book_20180117.pdf,,statements/statement_2018-01-31.txt
2018-03-21,RAISE,beige_books/beige_book_20180307.pdf,,statements/statement_2018-03-21.txt
2018-05-02,MAINTAIN,beige_books/beige_book_20180418.pdf,,statements/statement_2018-05-02.txt
2018-06-13,RAISE,beige_books/beige_book_20180530.pdf,,statements/statement_2018-06-13.txt
2018-08-01,MAINTAIN,beige_books/beige_book_20180718.pdf,,statements/statement_2018-08-01.txt
2018-09-26,RAISE,beige_books/beige_book_20180912.pdf,,statements/statement_2018-09-26.txt
2018-11-08,MAINTAIN,beige_books/beige_book_20181024.pdf,,statements/statement_2018-11-08.txt
2018-12-19,RAISE,beige_books/beige_book_20181205.pdf,,statements/statement_2018-12-19.txt
2019-01-30,MAINTAIN,beige_books/beige_book_20190116.pdf,,statements/statement_2019-01-30.txt
2019-03-20,MAINTAIN,beige_books/beige_book_20190306.pdf,,statements/statement_2019-03-20.txt
2019-05-01,MAINTAIN,beige_books/beige_book_20190417.pdf,,statements/statement_2019-05-01.txt
2019-06-19,MAINTAIN,beige_books/beige_book_20190605.pdf,,statements/statement_2019-06-19.txt
2019-07-31,LOWER,beige_books/beige_book_20190717.pdf,,statements/statement_2019-07-31.txt
2019-09-18,LOWER,beige_books/beige_book_20190904.pdf,,statements/statement_2019-09-18.txt
2019-10-30,LOWER,beige_books/beige_book_20191016.pdf,,statements/statement_2019-10-30.txt
2019-12-11,MAINTAIN,beige_books/beige_book_20191127.pdf,,statements/statement_2019-12-11.txt
2020-01-29,MAINTAIN,beige_books/beige_book_20200115.pdf,,statements/statement_2020-01-29.txt
2020-03-03,LOWER,,,statements/statement_2020-03-03.txt
2020-03-15,LOWER,beige_books/beige_book_20200304.pdf,,statements/statement_2020-03-15.txt
2020-04-29,MAINTAIN,beige_books/beige_book_20200415.pdf,,statements/statement_2020-04-29.txt
2020-06-10,MAINTAIN,beige_books/beige_book_20200527.pdf,,statements/statement_2020-06-10.txt
2020-07-29,MAINTAIN,beige_books/beige_book_20200715.pdf,,statements/statement_2020-07-29.txt
2020-09-16,MAINTAIN,beige_books/beige_book_20200902.pdf,,statements/statement_2020-09-16.txt
2020-11-05,MAINTAIN,beige_books/beige_book_20201021.pdf,,statements/statement_2020-11-05.txt
2020-12-16,MAINTAIN,beige_books/beige_book_20201202.pdf,,statements/statement_2020-12-16.txt
2021-01-27,MAINTAIN,,,statements/statement_2021-01-27.pdf; statements/statement_2021-01-27.txt
2021-03-17,MAINTAIN,,,statements/statement_2021-03-17.pdf; statements/statement_2021-03-17.txt
2021-04-28,MAINTAIN,,,statements/statement_2021-04-28.pdf; statements/statement_2021-04-28.txt
2021-06-16,MAINTAIN,,,statements/statement_2021-06-16.pdf; statements/statement_2021-06-16.txt
2021-07-28,MAINTAIN,,,statements/statement_2021-07-28.pdf; statements/statement_2021-07-28.txt
2021-09-22,MAINTAIN,,,statements/statement_2021-09-22.pdf; statements/statement_2021-09-22.txt
2021-11-03,MAINTAIN,,,statements/statement_2021-11-03.pdf; statements/statement_2021-11-03.txt
2021-12-15,MAINTAIN,,,statements/statement_2021-12-15.pdf; statements/statement_2021-12-15.txt
2022-01-26,MAINTAIN,,,statements/statement_2022-01-26.pdf; statements/statement_2022-01-26.txt
2022-03-16,RAISE,,,statements/statement_2022-03-16.pdf; statements/statement_2022-03-16.txt
2022-05-04,RAISE,,,statements/statement_2022-05-04.pdf; statements/statement_2022-05-04.txt
2022-06-15,RAISE,,,statements/statement_2022-06-15.pdf; statements/statement_2022-06-15.txt
2022-07-27,RAISE,,,statements/statement_2022-07-27.pdf; statements/statement_2022-07-27.txt
2022-09-21,RAISE,,,statements/statement_2022-09-21.pdf; statements/statement_2022-09-21.txt
2022-11-02,RAISE,,,statements/statement_2022-11-02.pdf; statements/statement_2022-11-02.txt
2022-12-14,RAISE,,,statements/statement_2022-12-14.pdf; statements/statement_2022-12-14.txt
2023-02-01,RAISE,,,statements/statement_2023-02-01.pdf; statements/statement_2023-02-01.txt
2023-03-22,RAISE,,,statements/statement_2023-03-22.pdf; statements/statement_2023-03-22.txt
2023-05-03,RAISE,,,statements/statement_2023-05-03.pdf; statements/statement_2023-05-03.txt
2023-06-14,MAINTAIN,,,statements/statement_2023-06-14.pdf; statements/statement_2023-06-14.txt
2023-07-26,RAISE,,,statements/statement_2023-07-26.pdf; statements/statement_2023-07-26.txt
2023-09-20,MAINTAIN,,,statements/statement_2023-09-20.pdf; statements/statement_2023-09-20.txt
2023-11-01,MAINTAIN,,,statements/statement_2023-11-01.pdf; statements/statement_2023-11-01.txt
2023-12-13,MAINTAIN,,,statements/statement_2023-12-13.pdf; statements/statement_2023-12-13.txt
2024-01-31,MAINTAIN,,,statements/statement_2024-01-31.pdf; statements/statement_2024-01-31.txt
2024-03-20,MAINTAIN,,,statements/statement_2024-03-20.pdf; statements/statement_2024-03-20.txt
2024-05-01,MAINTAIN,,,statements/statement_2024-05-01.pdf; statements/statement_2024-05-01.txt
2024-06-12,MAINTAIN,,,statements/statement_2024-06-12.pdf; statements/statement_2024-06-12.txt
2024-07-31,MAINTAIN,,,statements/statement_2024-07-31.pdf; statements/statement_2024-07-31.txt
2024-09-18,LOWER,,,statements/statement_2024-09-18.pdf; statements/statement_2024-09-18.txt
2024-11-07,LOWER,,,statements/statement_2024-11-07.pdf; statements/statement_2024-11-07.txt
2024-12-18,LOWER,,,statements/statement_2024-12-18.pdf; statements/statement_2024-12-18.txt
2025-01-29,MAINTAIN,,,statements/statement_2025-01-29.pdf; statements/statement_2025-01-29.txt
2025-03-19,MAINTAIN,,,statements/statement_2025-03-19.pdf; statements/statement_2025-03-19.txt
2025-05-07,MAINTAIN,,,statements/statement_2025-05-07.pdf; statements/statement_2025-05-07.txt
2025-06-18,MAINTAIN,,,statements/statement_2025-06-18.pdf; statements/statement_2025-06-18.txt
2025-07-30,MAINTAIN,,,statements/statement_2025-07-30.pdf; statements/statement_2025-07-30.txt
2025-09-17,LOWER,,,statements/statement_2025-09-17.pdf; statements/statement_2025-09-17.txt
2025-11-05,MAINTAIN,,,
2025-12-17,MAINTAIN,,,
